Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
CHIEF LANDSCAPE PLAN EXAMINER,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,108816,
POLICE OFFICER (ASSGN AS HELICOPTER PILOT),CHICAGO POLICE DEPARTMENT,F,SALARY,,108054,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
MECHANICAL ENGINEER IV,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,133428,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW,F,SALARY,,67656,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
RECRUITER,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,120960,
SENIOR VIDEOGRAPHER,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,75012,
PARALEGAL II,DEPARTMENT OF LAW,F,SALARY,,107100,
PROGRAM AUDITOR II,DEPARTMENT OF HOUSING,F,SALARY,,64668,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
FINGERPRINT TECHNICIAN II,CHICAGO POLICE DEPARTMENT,F,SALARY,,66684,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
CONTRACTS REVIEW SPECIALIST II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,80304,
LEGAL SECRETARY,DEPARTMENT OF LAW,F,SALARY,,102336,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
SUPERVISING ENVIRONMENTAL ENGINEER,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,98664,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
GENERAL SUPT OF STREETS AND SANITATION,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,136704,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,92808,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,F,SALARY,,87600,
ENVIRONMENTAL ENGINEER III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,133428,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,148260,
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,106032,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
BRIDGE OPERATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,57996,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
ENGINEERING TECHNICIAN IV,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,112260,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),CHICAGO POLICE DEPARTMENT,F,SALARY,,115686,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
INQUIRY AIDE III,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,70608,
CERTIFIED MEDICAL ASST,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,77424,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
DIR OF ADMINISTRATIVE SERVICES,COMMUNITY COMMISSION FOR PUBLIC SAFETY AND ACCOUNTABILITY,F,SALARY,,118128,
EXEC ADMINISTRATIVE ASST II,DEPARTMENT OF ADMINISTRATIVE HEARING,F,SALARY,,83472,
REFUSE COLLECTION COORD,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,97632,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PROJECTS ADMINISTRATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,120144,
REPROGRAPHICS TECHNICIAN III,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,77424,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PAYMENT SERVICES REPRESENTATIVE,OFFICE OF CITY CLERK,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
ENVIRONMENTAL ENGINEER III,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,110880,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
DIR OF ADMINISTRATION I,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,73188,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,87600,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,F,SALARY,,102468,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
SUBPOENA OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117684,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
CHIEF VOUCHER EXPEDITER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,73188,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
AVIATION SECURITY SERGEANT,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,70956,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
CHIEF METHODS ANALYST,DEPARTMENT OF LAW,F,SALARY,,100476,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,124854,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,124854,
EQUITY OFFICER,CHICAGO PUBLIC LIBRARY,F,SALARY,,82752,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
CLERK IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,77424,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
WATER RATE TAKER,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,112212,
DISTRICT CLERK,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,52896,
WARD SUPERINTENDENT,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,139056,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
CIVIL ENGINEER IV,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,106080,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,62136,
DIGITAL RETRIVAL SPECIALIST - CPD,CHICAGO POLICE DEPARTMENT,F,SALARY,,74244,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
HUMAN SERVICE SPECIALIST II,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,97668,
ASST DIVISION SUPERINTENDENT,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,132708,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
DATA BASE ANALYST,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,79368,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
TIMEKEEPER - CPD,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,53736,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
DEPUTY DIRECTOR - 22,OFFICE OF CITY CLERK,F,SALARY,,138324,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
ADMINISTRATIVE ASST III,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,58956,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
PROJECT MANAGER,DEPARTMENT OF ENVIRONMENT,F,SALARY,,100452,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,F,SALARY,,122196,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
ADMINISTRATIVE ASST III,CHICAGO PUBLIC LIBRARY,F,SALARY,,102336,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
FINANCIAL PLANNING ANALYST - EXCLD,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,90444,
LEGISLATIVE AIDE,CITY COUNCIL,F,SALARY,,91776,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
PROJECT COORD,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,67656,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
MOTOR TRUCK DRIVER,CHICAGO PUBLIC LIBRARY,F,HOURLY,40,,47.28
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DEPUTY MAYOR,OFFICE OF THE MAYOR,F,SALARY,,189324,
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,93252,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,72072,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
PARALEGAL II,DEPARTMENT OF LAW,F,SALARY,,112260,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,70608,
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,116052,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
ASST SUPVSR OF DATA ENTRY OPERATORS,CHICAGO PUBLIC LIBRARY,F,SALARY,,75012,
FREEDOM OF INFORMATION ACT OFFICER,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,66684,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
STAFF ASST,LICENSE APPEAL COMMISSION,F,SALARY,,112260,
ASST GENERAL SUPT OF STREETS AND SANITATION,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,126720,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
ASST TO THE ALDERMAN,CITY COUNCIL,F,SALARY,,106320,
DIR OF MAINTENANCE OPERATIONS,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,115488,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DIGITAL RETRIVAL SPECIALIST - CPD,CHICAGO POLICE DEPARTMENT,F,SALARY,,64584,
CHIEF DISPATCHER,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,112212,
SUPERVISING BRIDGE OPERATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,89004,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SANITATION CLERK,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,84936,
CLERK III,CHICAGO POLICE DEPARTMENT,F,SALARY,,70608,
REFUSE COLLECTION COORD,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,123120,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PAYMENT SERVICES REPRESENTATIVE,DEPARTMENT OF FINANCE,F,SALARY,,50460,
PROJECT MANAGER,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,101436,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,116052,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
DEPUTY DIR,DEPARTMENT OF FINANCE,F,SALARY,,152748,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,74400,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
GENERAL MANAGER OF AIRPORT OPERATIONS,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,121356,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
ASST DIVISION SUPERINTENDENT,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,115488,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
WARD SUPERINTENDENT,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,99456,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PUBLIC HEALTH ADMINISTRATOR III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,141612,
CAPTAIN,CHICAGO POLICE DEPARTMENT,F,SALARY,,163542,
ADMINISTRATIVE ASST III,DEPARTMENT OF LAW,F,SALARY,,63732,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
POLICE ADMINISTRATIVE CLERK,CHICAGO POLICE DEPARTMENT,F,SALARY,,64332,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,F,SALARY,,84276,
DIR OF ACCOUNTING,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,112608,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
CITY PLANNER IV,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,101448,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
DEPUTY DIR OF ADMINISTRATIVE ADJUDICATION,DEPARTMENT OF ADMINISTRATIVE HEARING,F,SALARY,,153948,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ADMINISTRATIVE ASST III,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,89028,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
FORENSIC DATA ANALYST,OFFICE OF INSPECTOR GENERAL,F,SALARY,,112608,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
PERSONAL COMPUTER OPERATOR II,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,77424,
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,F,SALARY,,79368,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,124854,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
CRIMINAL INTELLIGENCE ANALYST,CHICAGO POLICE DEPARTMENT,F,SALARY,,106080,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
DIR OF 311 CITY SERVICES,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,170400,
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,F,SALARY,,91308,
SAFETY SPECIALIST - WATER MGMT,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,112224,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
COMMUNITY ORGANIZER-CAPS,CHICAGO POLICE DEPARTMENT,F,SALARY,,102336,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,82848,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
EXEC ADMINISTRATIVE ASST II,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,77796,
SENIOR ENVIRONMENTAL INSPECTOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,71004,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
